index,unnamed,lemma,loc_frequency,fcode
188,188,griechisch,1,
189,189,Spyros,1,STDM
190,190,DDR,2,PCLH
191,191,DieterHofmann,1,
192,192,FreiburgerUniversitätsklinik,1,
193,193,deutschTurner-Bund,1,
194,194,DTB,1,AIRP
195,195,Hofmanns,1,FRM
196,196,Hofmann,1,MTS
197,197,Schweiz,5,PCLI
198,198,Freiburg,2,PPLA2
199,199,Turner,1,ADM2
200,200,PeterBerlit,1,
201,201,deutschGesellschaftfürNeurologie,1,
202,202,MichaelPfeifer,1,
203,203,deutschGesellschaftfürPneumologie,1,
204,204,JennyMcGee,1,
205,205,neuseeländisch,1,
206,206,britisch,5,ADM1
207,207,TVNewZealand,1,
208,208,Londoner,1,ISL
209,209,Chequers,1,PPL
210,210,DailyTelegraph,1,
211,211,Johnson,5,PPLA2
212,212,DowningStreet,2,
213,213,Schmidt,3,CAPE
214,214,AchimKersting,1,
215,215,LeitstelleTraunstein,1,
216,216,AntonGroschack,1,
217,217,JosefGschwendner,1,
218,218,Pilgram,3,PPL
219,219,KreisklinikTrostberg,1,
220,220,London,6,PPLC
221,221,TheSun,1,
222,222,WilfredLawrieNicholasJohnson,1,
223,223,CarrieSymonds,1,
224,224,Symonds,1,LK
225,225,Wilfred,1,LK
226,226,Lawrie,1,GLCR
227,227,Nicholas,1,ADM2
228,228,NickPrice,1,
229,229,NickHart,1,
230,230,Johnsons,1,PPL
231,231,DanielKehlmann,3,
232,232,Tyll,1,PPLA2
233,233,deutschsprachig,1,
234,234,InternationalBookerPrize,1,
235,235,Kehlmann,1,
236,236,SZ,6,CONT
237,237,Corona-Dialog,1,
238,238,Klaus,1,PPL
239,239,WernerWenken,1,
240,240,-Henrichs,1,DAM
241,241,Montauk,1,PRK
242,242,LongIsland,1,
243,243,Pariser,1,MT
244,244,HôpitalPitiéSalpêtrière,1,
245,245,RainerMariaRilke,1,
246,246,schwedisch,1,
247,247,perOlovEnquist,1,
248,248,Franzose,3,
249,249,HeleneFischer,1,
250,250,Otto,1,PPLA3
251,251,AngelaMerkel,4,
252,252,Merkel,2,PPL
253,253,zweitWeltkrieg,1,
254,254,Hader,2,PPL
255,255,JosefHader,2,
256,256,Wiener,2,PPLA3
257,257,JOSEFHADER,2,
258,258,ÜBER,2,PPLA
259,259,MatthiasBaumgärtel,2,
260,260,KlinikumNürnbergNord,1,
261,261,Lübeck,2,PPLA3
262,262,ThomasMann,1,
263,263,Dräger,1,
264,264,BrunoLeMaire,1,
265,265,CoronavirusSars-CoV-2,1,
266,266,deutschGesellschaftfürpädiatrischInfektiologie,1,
267,267,DGPI,1,
268,268,ReinhardBerner,1,
269,269,UniversitätDresden,1,
270,270,deutschGesellschaftfürKind-undJugendmedizin,1,
271,271,Rußland,2,PCLI
272,272,Moskau/Rom,1,
273,273,HeiligeGeorgij,1,
274,274,SanktPetersburg,1,
275,275,Ural,1,RGN
276,276,Moskau,2,PPLC
277,277,Calcio,2,PPLA3
278,278,ACMilan,1,
279,279,RalfRangnick,1,
280,280,PalazzoMarino,1,
281,281,MailänderRathaus,1,
282,282,MarburgerBund,2,
283,283,FFP2,2,
284,284,JohannaKnüppel,2,
285,285,Frankfurt/München,1,
286,286,Evangelium-Baptist-Gemeinde,1,
287,287,Frankfurt-Rödelheim,1,PPLX
288,288,deutsch-russisch,1,
289,289,Rödelheimer,1,HTL
290,290,evangelischKirche,1,
291,291,EKD,1,MTS
292,292,deutschBischofskonferenz,1,
293,293,CHRISTINAKUNKEL,2,
294,294,ForSama,1,
295,295,Cannes,1,PPL
296,296,Oscar,1,RGN
297,297,LosAngeles,1,LCTY
298,298,al-Kateab,1,
299,299,arabisch,1,BSNU
300,300,Waadal-Kateab,1,
301,301,Aleppo,1,PPLA
302,302,Tönnies,1,HLL
303,303,Risiko&#8220,1,
304,304,AlexZanardi,2,
305,305,Zanna,1,LCTY
306,306,MicheleSerra,1,
307,307,Repubblica,1,PPLA
308,308,Siena,1,PPLA2
309,309,Bologna,1,PPLA
310,310,Zanardi,2,PPL
311,311,StradaProvinciale,1,
312,312,Vald'Orcia,1,
313,313,Pienza,1,PPLA3
314,314,Montalcino,1,PPLA3
315,315,Paralympics,1,
316,316,RiodeJaneiro,1,PPLA
317,317,ObiettivoTricolore,1,
318,318,Luino,1,PPLA3
319,319,Apulien,1,ADM1
320,320,Stiefel,1,HLL
321,321,VONBERITUHLMANN,1,
322,322,Kontinent,1,
323,323,LancetChild&AdolescentHealth,1,
324,324,FlorianGötzinger,1,
325,325,WienerWilhelminenspital,1,
326,326,VONMAXIMILIANHELMES,2,
327,327,HELENAOTT,2,
328,328,U20/JUL.00775,1,
329,329,U20/JUL.00823,1,
330,330,Brasilien,4,PCLI
331,331,JairBolsonaro,3,
332,332,CHRISTOPHGURK,2,
"333,333,""Força""""B>covid"",1,"
334,334,Brasília,1,PCLI
335,335,Bolsonaro,1,
336,336,Sattmann,4,
337,337,Piefke-Saga,2,
338,338,Tirol,2,ADM1
339,339,DietrichMattausch,2,
340,340,TobiasMoretti,2,
341,341,Tiroler,2,AREA
342,342,FELIXMITTERERÜBER,2,
343,343,JAMANeurology,1,
344,344,TerryGoldberg,1,
345,345,ColumbiaUniversity,1,
346,346,SimoneGurlit,1,
347,347,St-Franziskus-Hospital,1,
348,348,Münster,1,PPLA2
349,349,AlexandreVivanti,1,
350,350,FachblattNatureCommunications,1,
351,351,UniversitätParis-Saclay,1,
352,352,ClemensWendtner,2,
353,353,AlexandraVossenkaul,1,
354,354,ClemensCohen,1,
355,355,ulkig,1,
356,356,Rocca,1,ISL
357,357,FlavioBriatore,1,
358,358,LokalBillionaire,1,
359,359,PortoCervo,1,
360,360,CostaSmeralda,1,
361,361,Briatore,1,
362,362,Sardinien,3,ISL
363,363,RobertoSperanza,1,
364,364,Kroatien,1,PCLI
365,365,Paris,2,PPLC
366,366,Twitter,2,STM
367,367,FightingeB>Corona</,1,
368,368,Jaja,1,PPL
369,369,Schlegl,1,
370,370,Marseille,2,PPLA
371,371,Frankreich,5,PCLI
372,372,Canebière,1,LK
373,373,Hauptstraße,1,FT
374,374,europäisch,2,
375,375,JAMAInternalMedicine,1,
376,376,ALEXANDRABRÖHM,1,
377,377,FELIXSTRAUMANN,1,
378,378,SucharitBhakdi,1,
379,379,KarinaReiss,1,
380,380,Bhakdi,2,
381,381,UniversitätMainz,1,
382,382,Reiss,1,PT
383,383,UniversitätKiel,1,
384,384,KenJebsen,1,
385,385,UniversitätOxford,1,
386,386,FDA,1,ADM2
387,387,IFR,1,PPL
388,388,DidierPittet,1,
389,389,GenferUniklinik,1,
390,390,Weltgesundheitsorganisation,1,
391,391,WHO,1,AIRP
