,lemma,loc_frequency
270,>xyxHTMEyxyMarkMothersbaugh,1
271,LosAngeles,1
272,UniklinikEssen,1
273,MagdalenaMüller,1
274,Bremen,1
275,AlexanderPoppinga,1
276,evangelischKrankenhauses,1
277,Oldenburg,1
278,Mecklenburg-Vorpommern,2
279,MatthiasGründling,1
280,Vorpommern-Rügen,1
281,Vorpommern-Greifswald,1
282,UniklinikGreifswald,1
283,Wolfgangschäubl,1
284,Schäubles,1
285,schäubl,1
286,RitaMüller,1
287,Sell,1
288,StolzundIrritation,1
289,österreichisch,1
290,ORF,1
291,KatharinaReich,1
292,Hietzing,1
293,LandkreisCloppenburg,1
294,LandkreisGörlitz,1
295,KlinikumGörlitz,1
296,Dresden,1
297,RKI,1
298,Weber,1
299,MirkoSchultze,1
300,Görlitz,1
301,Coronakrise,1
302,FDPMüller,1
303,AfD,1
304,Sachsen,1
305,Oberspreewald-Lausitz,1
306,KrankenhausNiederlausitz,1
307,Senftenberg,1
308,TobiasVaasen,1
309,Vaasen,1
310,MarcoDesel,1
311,Gelsenkirchen,1
312,Desel,1
313,FrankReinhard,1
314,Reinhard,1
315,KlinikMartinusquelle,1
316,ostwestfälisch,1
317,BadLippspringe,1
318,Simon,2
319,MHH,2
320,niedersächsisch,1
321,Grey'sAnatomy,1
322,Seattle,1
323,Manhattan,1
324,EmergencyRoom,1
