,lemma,loc_frequency
265,CoronavirusSars-CoV-2,1
266,deutschGesellschaftfürpädiatrischInfektiologie,1
267,DGPI,1
268,ReinhardBerner,1
269,UniversitätDresden,1
270,deutschGesellschaftfürKind-undJugendmedizin,1
271,Rußland,2
272,Moskau/Rom,1
273,HeiligeGeorgij,1
274,SanktPetersburg,1
275,Ural,1
276,Moskau,2
277,Calcio,2
278,ACMilan,1
279,RalfRangnick,1
280,PalazzoMarino,1
281,MailänderRathaus,1
282,MarburgerBund,2
283,FFP2,2
284,JohannaKnüppel,2
285,Frankfurt/München,1
286,Evangelium-Baptist-Gemeinde,1
287,Frankfurt-Rödelheim,1
288,deutsch-russisch,1
289,Rödelheimer,1
290,evangelischKirche,1
291,EKD,1
292,deutschBischofskonferenz,1
293,CHRISTINAKUNKEL,2
294,ForSama,1
295,Cannes,1
296,Oscar,1
297,LosAngeles,1
298,al-Kateab,1
299,arabisch,1
300,Waadal-Kateab,1
301,Aleppo,1
302,Tönnies,1
303,Risiko&#8220,1
304,AlexZanardi,2
305,Zanna,1
306,MicheleSerra,1
307,Repubblica,1
308,Siena,1
309,Bologna,1
310,Zanardi,2
311,StradaProvinciale,1
312,Vald'Orcia,1
313,Pienza,1
314,Montalcino,1
315,Paralympics,1
316,RiodeJaneiro,1
317,ObiettivoTricolore,1
318,Luino,1
319,Apulien,1
320,Stiefel,1
321,VONBERITUHLMANN,1
322,Kontinent,1
323,LancetChild&AdolescentHealth,1
324,FlorianGötzinger,1
325,WienerWilhelminenspital,1
326,VONMAXIMILIANHELMES,2
327,HELENAOTT,2
328,U20/JUL.00775,1
329,U20/JUL.00823,1
330,Brasilien,4
331,JairBolsonaro,3
332,CHRISTOPHGURK,2
333,"Força""B>covid",1
334,Brasília,1
335,Bolsonaro,1
336,Sattmann,4
337,Piefke-Saga,2
338,Tirol,2
339,DietrichMattausch,2
340,TobiasMoretti,2
341,Tiroler,2
342,FELIXMITTERERÜBER,2
343,JAMANeurology,1
344,TerryGoldberg,1
345,ColumbiaUniversity,1
346,SimoneGurlit,1
347,St-Franziskus-Hospital,1
348,Münster,1
349,AlexandreVivanti,1
350,FachblattNatureCommunications,1
351,UniversitätParis-Saclay,1
352,ClemensWendtner,2
353,AlexandraVossenkaul,1
354,ClemensCohen,1
355,ulkig,1
356,Rocca,1
357,FlavioBriatore,1
358,LokalBillionaire,1
359,PortoCervo,1
360,CostaSmeralda,1
361,Briatore,1
362,Sardinien,3
363,RobertoSperanza,1
364,Kroatien,1
365,Paris,2
366,Twitter,2
367,FightingeB>Corona</,1
368,Jaja,1
369,Schlegl,1
370,Marseille,2
371,Frankreich,5
372,Canebière,1
373,Hauptstraße,1
374,europäisch,2
375,JAMAInternalMedicine,1
376,ALEXANDRABRÖHM,1
377,FELIXSTRAUMANN,1
378,SucharitBhakdi,1
379,KarinaReiss,1
380,Bhakdi,2
381,UniversitätMainz,1
382,Reiss,1
383,UniversitätKiel,1
384,KenJebsen,1
385,UniversitätOxford,1
386,FDA,1
387,IFR,1
388,DidierPittet,1
389,GenferUniklinik,1
390,Weltgesundheitsorganisation,1
391,WHO,1
392,Pittet,2
393,CleanHandSaveLives,1
394,Pittets,1
395,Trumps,1
396,WilliamShakespeare,1
397,HenryV,1
398,Wieler,1
399,Gesellschaft&#8220,1
400,Schleswig-Holstein,1
401,nordischKnoten,1
402,Sars,1
403,Bremen,1
404,schwäbisch,1
405,Laichingen,1
406,Grünhainiche,1
407,Erzgebirge,1
408,Berlin-Schöneberg,1
409,StefanKohlbrenner,1
410,Diakoniekrankenhaus,1
411,Siegfried,1
412,Real,1
413,AlfredoDiStéfano,1
414,NovakDjokovic,1
415,Serbe,1
416,USOpen,1
417,RafaelNadal,1
418,französischsprachig,1
419,Wallonie,1
420,Lüttich,1
421,hoch,1
422,SophieWilmès,1
423,UrsulavonderLeyen,2
424,VONKarolte,1
425,METABEISEL,1
426,Brüssel/Rom,1
427,Corona-Fatigue,1
428,Leyen,1
429,OlivierVéran,2
430,Macron,2
431,Gesundheitsministerium,3
432,Augsburg,4
433,EvaWeber,1
434,Oberbayern,1
435,AugsburgerKlinikum,1
436,Weber,2
437,MichaelBeyer,1
438,BR,1
439,RobertKoch-Institut,1
440,Ivena,2
441,bayerischKrankenhausgesellschaft,1
442,Asien,1
443,Burel,1
444,PeterZwanzger,1
445,GesellschaftfürAngstforschungundChefarztderAllgemeinpsychiatrieundPsychosomatik,1
446,KBO-Inn-Salzach-Klinikum,1
447,Wasserburg,1
448,CorneliaBetsch,1
449,UniErfurt,1
450,Betsch,2
451,VONFELIXHÜTTEN,1
452,FOTOS,1
453,ALESSANDRASCHELLNEGGER,1
454,AmelieKessler,5
455,TheresiaMantwill,4
456,EKATERINAKEL,1
457,MünchenKlinikSchwabing,1
458,Remdesivir,1
459,SaskiaBiskup,6
460,ELISABETHDOSTERT,2
461,ClassseHENZLER,2
462,Tübingen,2
463,DirkBiskup,2
464,Covid&#8220,2
465,EU,5
466,Eidgenosse,1
467,Schweizer,1
468,schweizerischGesellschaftfürIntensivmedizin,1
469,NICOFRIED,1
470,Belarus,3
471,Tatjana,1
472,Minsker,1
473,BNT162b2,2
474,vereinigtKönigreich,1
475,Verdi,3
476,Amazon,2
477,Koblenz,4
478,MonikaDiSilvestre,1
479,Nataleblindato,1
480,SilviaRohwer,2
481,HansMichel,2
482,DIETRICHMITTLER,1
483,KlinikumSchongau,1
484,MargaretKeenan,1
485,Coventry,1
486,Mittelengland,1
487,Biontec,1
488,WELT,1
489,KlinikumOberlausitzerBergland,1
490,MathiasMengel,1
491,Deutschlandfunk,1
492,PortalT-Online,1
493,Mengel,2
494,Zittau,1
495,Görlitz,1
496,Sachsen,1
497,KagnfieZINKANT,1
498,EMA,1
499,Viechtach,1
500,Zwiesel,3
501,StephanieBlüml,1
502,ViechtacherKrankenhaus,1
503,Blüml,1
504,Söder,5
505,grüne,1
506,KatharinaSchulze,1
507,MünchnerStaatskanzlei,1
508,Batman,1
509,GothamCity,1
510,HANNOCHARISIUS,1
511,europäischArzneimittelbehördeEMA,1
512,europäischArzneimittelbehörde,1
513,FarahDemir,3
514,medizinischHochschuleHannover,1
515,MHH,1
516,BSE,2
517,SandraRöhren,4
518,TübingerFirmaCurevac,1
519,IngmarHoerr,2
520,TübingerInnenstadt,1
521,Friedrich-Miescher-Straße,1
522,Curevac,2
523,Hoerr,2
524,derRiß,1
525,KonradReinhart,1
526,AlternativeListe,1
527,Steglitz,1
528,Reinhart,1
529,GlobalSepsisAlliance,1
530,WeltgesundheitsorganisationWHO,1
531,Schweden,1
532,Saudi-Arabien,1
533,Südafrika,1
534,UniklinikJena,1
535,Mercedes,1
536,Beethovens,1
537,MissaSolemnis,1
538,Toscanini,1
539,Karajan,1
540,Furtwängler,1
541,Bernstein,1
